(0,0.70375)
(1,0.77875)
(2,0.815)
(3,0.84)
(4,0.855)
(5,0.8725)
(6,0.8825)
(7,0.88875)
(8,0.90125)
(9,0.91)
(10,0.9125)
(11,0.92)
(12,0.92375)
(13,0.92625)
(14,0.92875)
(15,0.93125)
(16,0.93125)
(17,0.93125)
(18,0.93125)
(19,0.93375)
(20,0.93375)
(21,0.935)
(22,0.93875)
(23,0.94)
(24,0.94)
(25,0.94)
(26,0.94125)
(27,0.94375)
(28,0.945)
(29,0.945)
(30,0.94625)
(31,0.94625)
(32,0.94625)
(33,0.94625)
(34,0.9475)
(35,0.94875)
(36,0.94875)
(37,0.94875)
(38,0.94875)
(39,0.95)
(40,0.9525)
(41,0.9525)
(42,0.9525)
(43,0.9525)
(44,0.9525)
(45,0.95375)
(46,0.95375)
(47,0.95375)
(48,0.955)
(49,0.955)
(50,0.95625)
(51,0.95625)
(52,0.9575)
(53,0.9575)
(54,0.9575)
(55,0.95875)
(56,0.95875)
(57,0.95875)
(58,0.95875)
(59,0.95875)
(60,0.95875)
(61,0.95875)
(62,0.96)
(63,0.96)
(64,0.96)
(65,0.9625)
(66,0.9625)
(67,0.9625)
(68,0.9625)
(69,0.9625)
(70,0.9625)
(71,0.9625)
(72,0.9625)
(73,0.96375)
(74,0.96375)
(75,0.96375)
(76,0.96375)
(77,0.96375)
(78,0.96375)
(79,0.96375)
(80,0.96375)
(81,0.96375)
(82,0.96375)
(83,0.96375)
(84,0.96375)
(85,0.96375)
(86,0.96375)
(87,0.96375)
(88,0.96375)
(89,0.96375)
(90,0.96375)
(91,0.96375)
(92,0.96375)
(93,0.96375)
(94,0.96375)
(95,0.96375)
(96,0.96375)
(97,0.965)
(98,0.965)
(99,0.96625)
(100,0.9675)
(101,0.9675)
(102,0.9675)
(103,0.9675)
(104,0.9675)
(105,0.9675)
(106,0.96875)
(107,0.96875)
(108,0.96875)
(109,0.96875)
(110,0.96875)
(111,0.96875)
(112,0.96875)
(113,0.96875)
(114,0.96875)
(115,0.97)
(116,0.97)
(117,0.97)
(118,0.97)
(119,0.97)
(120,0.97)
(121,0.97)
(122,0.97)
(123,0.97)
(124,0.97)
(125,0.97125)
(126,0.97125)
(127,0.97125)
(128,0.97125)
