(1,0.946996466431)
(3,0.936395759717)
(5,0.950530035336)
(7,0.932862190813)
(9,0.939929328622)
(11,0.939929328622)
(13,0.939929328622)
(15,0.936395759717)
(17,0.936395759717)
(19,0.936395759717)
(21,0.929328621908)
(23,0.936395759717)
(25,0.932862190813)
(27,0.929328621908)
(29,0.939929328622)
(31,0.936395759717)
(33,0.936395759717)
(35,0.939929328622)
(37,0.932862190813)
(39,0.929328621908)
(41,0.932862190813)
(43,0.932862190813)
(45,0.932862190813)
(47,0.932862190813)
(49,0.932862190813)
(51,0.932862190813)
